"SID"	"total_snv"	"N_in_cltr"	"N_in_genes"	"N_TLS"	"N_APO"	"N_AID"	"N_in_genes_in_cltr"	"N_TLS_cltr"	"N_APO_cltr"	"N_AID_cltr"	"fraction_in_cltr"	"fraction_in_genes"	"fraction_in_cltr_TLS"	"fraction_in_cltr_APO"	"fraction_in_cltr_AID"	"fraction_TLS_in_cltr"	"fraction_APO_in_cltr"	"fraction_AID_in_cltr"
"HG00405"	487	132	222	336	19	45	0	97	1	9	0.271047227926078	0.455852156057495	0.734848484848485	0.00757575757575758	0.0681818181818182	0.19917864476386	0.00205338809034908	0.0184804928131417
"HG00408"	648	172	298	442	30	56	0	113	7	20	0.265432098765432	0.459876543209877	0.656976744186046	0.0406976744186047	0.116279069767442	0.174382716049383	0.0108024691358025	0.0308641975308642
"HG00423"	593	157	265	403	20	55	0	106	4	12	0.264755480607083	0.446880269814503	0.67515923566879	0.0254777070063694	0.0764331210191083	0.178752107925801	0.00674536256323777	0.0202360876897133
"HG00438"	607	174	285	434	14	60	0	116	5	20	0.28665568369028	0.469522240527183	0.666666666666667	0.028735632183908	0.114942528735632	0.191103789126853	0.00823723228995058	0.0329489291598023
"HG00444"	482	84	209	341	20	37	0	61	3	6	0.174273858921162	0.433609958506224	0.726190476190476	0.0357142857142857	0.0714285714285714	0.12655601659751	0.00622406639004149	0.012448132780083
"HG00450"	489	88	232	331	15	48	0	57	7	3	0.179959100204499	0.474437627811861	0.647727272727273	0.0795454545454545	0.0340909090909091	0.116564417177914	0.0143149284253579	0.00613496932515337
"HG00465"	535	119	259	383	24	46	0	88	4	8	0.222429906542056	0.48411214953271	0.739495798319328	0.0336134453781513	0.0672268907563025	0.164485981308411	0.00747663551401869	0.0149532710280374
"HG00474"	439	59	222	340	12	27	0	44	1	4	0.134396355353075	0.505694760820046	0.745762711864407	0.0169491525423729	0.0677966101694915	0.100227790432802	0.00227790432801822	0.00911161731207289
"HG00477"	539	92	236	354	24	43	0	51	5	9	0.170686456400742	0.437847866419295	0.554347826086957	0.0543478260869565	0.0978260869565217	0.0946196660482375	0.00927643784786642	0.0166975881261596
"HG00480"	563	158	270	406	21	48	0	113	7	13	0.280639431616341	0.479573712255773	0.715189873417722	0.0443037974683544	0.0822784810126582	0.200710479573712	0.0124333925399645	0.0230905861456483
