"SID"	"N_SNV"	"N_in_CLTRS"	"N_TLS"	"N_TLS_CLTR"	"N_AID"	"N_AID_CLTR"	"N_APO"	"N_APO_CLTR"	"N_3prime"	"N_3prime_CLTR"	"N_in_gene"	"N_in_gene_CLTR"	"N_A.C"	"N_in_CLTR_A.C"	"N_A.G"	"N_in_CLTR_A.G"	"N_A.T"	"N_in_CLTR_A.T"	"N_C.A"	"N_in_CLTR_C.A"	"N_C.G"	"N_in_CLTR_C.G"	"N_C.T"	"N_in_CLTR_C.T"	"N_G.A"	"N_in_CLTR_G.A"	"N_G.C"	"N_in_CLTR_G.C"	"N_G.T"	"N_in_CLTR_G.T"	"N_T.A"	"N_in_CLTR_T.A"	"N_T.C"	"N_in_CLTR_T.C"	"N_T.G"	"N_in_CLTR_T.G"
"HG00405"	487	132	336	97	45	9	19	1	174	46	222	58	23	6	89	31	20	5	26	5	17	5	77	16	81	18	26	11	16	5	25	10	68	14	19	6
"HG00408"	648	172	442	113	56	20	30	7	222	44	298	58	35	11	84	21	35	8	28	6	34	13	111	23	116	30	31	9	21	6	36	12	90	25	27	8
"HG00423"	593	157	403	106	55	12	20	4	174	33	265	56	19	7	82	22	30	9	33	10	24	13	109	25	97	19	25	5	22	8	30	8	97	22	25	9
"HG00438"	607	174	434	116	60	20	14	5	213	54	285	64	26	9	107	30	24	10	23	8	26	6	100	29	89	23	29	7	29	8	23	7	105	24	26	13
"HG00444"	482	84	341	61	37	6	20	3	151	14	209	16	22	7	81	14	20	4	20	3	23	4	70	11	78	13	26	5	29	4	15	3	73	8	25	8
"HG00450"	489	88	331	57	48	3	15	7	180	19	232	20	22	4	53	7	24	9	24	3	23	5	96	16	77	13	24	7	23	3	24	6	79	12	20	3
"HG00465"	535	119	383	88	46	8	24	4	190	20	259	33	27	4	84	18	26	4	23	9	29	10	83	17	92	14	27	9	13	2	20	4	84	24	27	4
"HG00474"	439	59	340	44	27	4	12	1	165	23	222	25	20	NA	77	7	15	2	18	6	20	5	80	11	72	11	25	6	10	1	17	1	68	7	17	2
"HG00477"	539	92	354	51	43	9	24	5	183	20	236	23	20	4	84	14	26	9	35	8	26	4	94	15	85	15	25	4	32	5	25	5	63	4	24	5
"HG00480"	563	158	406	113	48	13	21	7	208	47	270	59	20	9	77	20	25	12	28	10	32	9	100	27	90	16	26	10	21	2	14	1	97	35	33	7
"HG00532"	502	97	360	73	34	5	17	1	162	15	220	20	24	5	73	11	29	7	25	5	29	10	84	10	69	14	24	5	23	4	14	2	88	17	20	7
"HG00535"	558	131	394	86	55	15	16	5	199	37	261	47	22	7	85	21	22	7	22	6	27	9	103	21	91	20	26	6	25	6	24	6	86	18	25	4
"HG00538"	580	117	407	77	43	9	22	6	182	21	272	45	19	5	99	25	21	5	30	7	28	4	86	10	98	14	32	9	28	6	29	7	89	18	21	7
"HG00544"	487	104	352	73	40	6	16	1	151	24	217	29	23	3	74	17	21	6	18	6	24	7	89	11	74	11	32	10	22	8	18	4	68	15	24	6
"HG00558"	550	81	402	48	36	2	14	3	197	21	270	21	22	5	89	10	17	5	28	7	27	4	79	6	83	5	35	8	29	7	24	9	96	10	21	5
"HG00561"	550	128	407	86	32	5	11	2	169	19	239	35	30	9	83	16	28	13	27	11	30	8	75	11	82	9	19	4	25	4	20	7	96	25	35	11
"HG00591"	572	116	395	81	49	6	18	2	216	25	284	36	32	7	73	11	29	9	26	5	30	11	93	12	103	12	19	5	24	7	31	6	80	18	32	13
"HG00594"	583	138	428	105	52	10	18	5	185	37	270	43	33	9	98	22	23	4	20	4	30	7	95	23	96	20	23	3	18	3	24	7	86	26	37	10
