SID	Histology	N_SNV	N_CLTR	N_CM_intervals	N_CM_intervals_events_All	N_CM_intervals_events_APO	N_CM_intervals_events_AID	N_CM_intervals_events_TLS	N_CM_intervals_events_POLH	SITH_CM_All	SITH_CM_APO	SITH_CM_AID	SITH_CM_TLS	SITH_CM_POLH	dSITH_CM_All	dSITH_CM_APO	dSITH_CM_AID	dSITH_CM_TLS	dSITH_CM_POLH
HG00405	Normal	934	34	68	212	2	10	118	56	0.883947289607667	NA	0.880952380952381	0.876446058649448	0.912981859410431	0.00839810249680592	NA	0.0386370204591685	0.0112341900347308	0.0164655461221339
HG00408	Normal	1117	37	74	252	7	21	131	51	0.887881078357269	0.961451247165533	0.909674981103552	0.884223918575064	0.879551820728291	0.00771084146108314	0.0471579010047288	0.0268648740779258	0.0106842818431224	0.0171023894341869
HG00423	Normal	1109	34	68	255	6	13	128	54	0.864332399626516	0.584656084656085	0.934065934065934	0.850694444444444	0.858759553203997	0.00761739209295045	0.0457832494705735	0.0343620202184867	0.0107121612936479	0.0165283482325813
HG00438	Normal	1069	48	96	265	5	22	148	69	0.903444144953578	0.946031746031746	0.900793650793651	0.902348777348777	0.927306188175753	0.00755025916414461	0.0555782266667035	0.0261861030937367	0.0101001759984113	0.0148890003453273
HG00444	Normal	879	28	56	155	5	10	77	32	0.897849462365592	0.7	0.888095238095238	0.910740053597196	0.902529761904762	0.00985779446652596	0.051946248164932	0.0387103123754197	0.0140336347357274	0.021722283025444
HG00450	Normal	879	28	56	148	7	4	76	26	0.9004719004719	0.989795918367347	NA	0.872598162071846	0.939255189255189	0.0100951923000859	0.0474974151148603	NA	0.0139839617603682	0.0243301919120747
HG00465	Normal	907	31	62	173	5	8	101	47	0.921644187540141	0.984126984126984	0.9375	0.934386295772434	0.946639648767308	0.00938919079215784	0.0561195858084561	0.0438420234007626	0.0123289372995943	0.0181304498905364
HG00474	Normal	789	23	46	112	1	4	56	19	0.892644557823129	NA	NA	0.831916099773242	0.863408521303258	0.0115808449274437	NA	NA	0.0161128922787596	0.0278992138337453
HG00477	Normal	1053	29	58	138	5	10	64	22	0.902461467678859	0.996825396825397	0.86984126984127	0.92609126984127	0.933982683982684	0.0104600345474025	0.0562988820665657	0.0385227336492432	0.0154547922632097	0.0264137265627496
HG00480	Normal	1065	38	76	248	7	13	135	68	0.876632104454685	0.979591836734694	0.93040293040293	0.855614344503233	0.828781512605042	0.00774958521026058	0.0473754703305582	0.0343294650049073	0.0104445973885662	0.0146096961099615
HG00532	Normal	927	26	52	152	2	8	92	36	0.874269005847953	NA	0.771825396825397	0.838423050379572	0.823853615520282	0.00989256460550546	NA	0.0419256877164989	0.0125934157788197	0.0200520355676352
HG00535	Normal	1023	38	76	182	5	17	101	47	0.896650968079539	1	0.834733893557423	0.930693069306931	0.946470786896319	0.00909437256894587	0.0563436169819011	0.0292669057304528	0.0123171621665376	0.018129663507682
HG00538	Normal	1008	28	56	177	7	10	95	50	0.925163662451798	0.908163265306122	0.949206349206349	0.91311612364244	0.952698412698412	0.00929098849171878	0.0465129058883583	0.0393317831535361	0.0126422271933346	0.0176054573641172
HG00544	Normal	946	32	64	171	1	9	87	38	0.951406293511556	NA	0.925925925925926	0.953749315818281	0.978070175438596	0.0095167908050422	NA	0.0412110103899398	0.0133502537540732	0.0203256188138711
HG00558	Normal	996	26	52	140	3	2	67	30	0.915532879818595	NA	NA	0.867685382610756	0.864285714285714	0.0104206669320847	NA	NA	0.014874048250997	0.0222080453644972
HG00561	Normal	1055	36	72	192	3	7	102	46	0.916914682539682	NA	0.743764172335601	0.921879863056333	0.929089026915113	0.00890154732323754	NA	0.0444641078256861	0.0122286287313272	0.0182436590367973
HG00591	Normal	1072	35	70	188	3	6	103	41	0.886398176291794	NA	0.989417989417989	0.883032824780397	0.844947735191638	0.00892385462510274	NA	0.0512981995493791	0.012045506336339	0.0188979559759268
