"SID"	"N_SNV"	"N_in_CLTRS"	"N_TLS"	"N_TLS_CLTR"	"N_AID"	"N_AID_CLTR"	"N_APO"	"N_APO_CLTR"	"N_3prime"	"N_3prime_CLTR"	"N_in_gene"	"N_in_gene_CLTR"	"N_A.C"	"N_in_CLTR_A.C"	"N_A.G"	"N_in_CLTR_A.G"	"N_A.T"	"N_in_CLTR_A.T"	"N_C.A"	"N_in_CLTR_C.A"	"N_C.G"	"N_in_CLTR_C.G"	"N_C.T"	"N_in_CLTR_C.T"	"N_G.A"	"N_in_CLTR_G.A"	"N_G.C"	"N_in_CLTR_G.C"	"N_G.T"	"N_in_CLTR_G.T"	"N_T.A"	"N_in_CLTR_T.A"	"N_T.C"	"N_in_CLTR_T.C"	"N_T.G"	"N_in_CLTR_T.G"
"FI660216"	4944	117	2742	75	366	11	129	6	1821	44	2393	65	336	11	529	14	371	10	472	4	135	5	598	12	666	13	140	11	493	9	371	2	505	15	328	11
"FI660220"	13249	823	9281	624	735	21	696	31	5561	317	7426	411	2637	181	868	84	545	48	719	23	310	22	1490	60	1565	60	315	13	721	24	552	52	870	81	2657	175
"FI660226"	21732	1409	12737	712	984	65	906	76	8045	431	10820	595	563	43	3829	204	1503	95	2103	194	728	53	2044	135	2067	136	757	53	1943	149	1556	118	4072	195	567	34
"FI660236"	9647	349	5497	206	635	33	440	20	3678	118	4932	159	310	23	1328	41	602	15	981	28	412	11	1286	58	1284	52	403	14	919	24	573	23	1240	41	309	19
"FI660240"	9024	332	5761	218	837	13	550	52	3612	119	4940	184	1150	22	578	26	410	7	495	19	197	20	1670	72	1658	65	181	18	545	21	426	2	594	27	1120	33
"FI660242"	9594	195	1615	77	271	17	128	7	3770	69	5090	96	112	2	315	14	200	16	3536	36	108	5	466	16	438	23	113	6	3652	26	192	16	334	22	128	13
"FI660244"	5800	245	3413	166	715	19	395	13	2214	108	2994	127	259	20	482	29	274	13	359	5	165	8	1375	47	1373	34	165	13	342	9	302	20	469	25	235	22
"FI660252"	5250	172	2973	104	447	12	203	17	1989	62	2704	85	302	5	487	19	333	9	440	10	225	6	780	21	814	37	233	13	474	7	380	13	505	24	277	8
"FI660256"	12110	1298	6719	678	1042	50	587	154	4712	527	6347	675	541	41	1158	93	839	84	1113	128	563	141	1946	191	1932	150	517	116	1042	107	768	97	1163	101	528	49
"FI660260"	3966	130	2893	88	147	7	270	5	1777	56	2395	61	958	17	268	14	143	3	166	8	92	3	339	19	365	13	77	2	185	7	162	12	263	12	948	20
"FI660262"	21244	2242	14167	1533	1247	93	891	89	7455	728	9968	924	2736	352	2122	250	1103	145	1329	149	496	57	2677	197	2734	202	488	62	1342	115	1165	118	2233	239	2819	356
"FI660264"	6216	97	3481	61	430	7	239	2	2402	31	3188	49	313	3	528	12	391	4	629	11	394	7	832	6	854	26	419	4	650	8	396	4	502	8	308	4
"FI660266"	5678	237	3345	157	577	20	212	4	2257	94	3048	129	243	11	524	35	291	9	449	16	238	14	1068	42	1065	36	200	11	458	14	346	17	573	23	223	9
"FI660268"	89830	31850	72736	26558	1958	420	1515	414	31351	9751	42273	13453	23600	8842	9674	3654	4303	1515	2562	729	1157	287	3741	815	3665	859	1194	304	2588	712	4168	1502	9638	3845	23540	8786
"FI660270"	2598	41	1452	24	279	3	95	2	1003	10	1324	10	122	2	250	1	186	6	189	1	84	2	452	7	463	7	85	4	203	4	194	1	269	4	101	2
"FI660272"	2903	127	1733	85	187	6	203	11	1222	56	1624	76	300	14	240	4	182	5	198	9	124	18	395	20	438	16	101	15	216	5	184	6	225	6	300	9
"FI660280"	13636	601	7291	298	872	50	576	35	5398	245	7245	293	482	30	1749	69	1320	68	1115	48	415	16	1681	80	1690	72	425	20	1104	49	1358	53	1812	79	485	17
"FI660282"	6854	176	4083	96	456	20	321	8	2591	41	3491	63	254	10	1024	19	395	13	596	11	243	7	862	25	960	31	247	5	585	9	418	19	1056	24	214	3
"FI660290"	3600	42	1964	25	434	4	127	2	1345	7	1823	13	120	1	299	4	224	4	328	2	109	4	763	7	723	8	125	2	307	1	216	4	294	4	92	1
"FI660292"	8706	336	4333	183	414	26	1343	37	3632	171	4921	209	695	24	645	39	678	23	647	23	325	11	1267	42	1366	52	385	19	562	21	729	23	688	36	719	23
"FI660294"	11180	540	4494	282	918	27	331	29	4228	186	5764	266	280	17	624	51	581	56	2154	59	362	22	1580	69	1583	58	355	24	2157	53	545	34	655	61	304	36
"FI660302"	3526	69	2308	48	254	4	181	NA	1509	30	2062	39	460	4	260	5	152	4	226	4	105	1	529	12	515	11	96	1	221	6	184	3	247	7	531	11
"FI660306"	11529	360	6993	200	597	22	407	14	4545	135	6046	160	430	7	2076	55	777	27	1019	41	457	9	1088	29	1170	47	429	18	965	32	771	24	1959	56	388	15
"FI660312"	82463	22379	55083	14549	2892	752	20832	6099	27934	6322	37395	8326	913	205	1949	500	1184	308	660	163	390	80	36132	9834	36135	9987	364	85	608	168	1204	340	1978	491	946	218
"FI660320"	1992	13	1075	8	197	1	94	NA	739	NA	974	NA	52	NA	170	1	127	2	172	NA	58	NA	417	2	409	4	49	NA	199	2	128	NA	163	1	48	1
"FI660326"	2991	56	1727	36	321	6	127	6	1096	15	1486	23	132	1	269	6	182	3	230	1	108	6	552	11	564	10	116	6	253	2	151	2	297	7	137	1
"FI660336"	40942	4126	18907	1735	1546	181	1000	130	15313	1331	20676	1804	1420	129	5205	428	4923	479	4719	549	1186	141	2873	333	2745	296	1172	127	4548	509	5299	543	5389	440	1463	152
"FI660340"	17516	720	10143	434	1165	45	614	32	6791	230	9127	325	860	24	1528	86	1233	40	1547	57	1481	48	2060	80	2195	105	1497	61	1598	57	1216	55	1473	75	828	32
"FI660342"	6790	146	3968	73	662	14	447	9	2441	61	3332	64	263	7	681	19	402	10	460	13	327	5	1203	18	1288	22	384	4	468	19	383	8	634	16	297	5
"FI660344"	2653	21	1471	13	331	1	119	NA	1041	3	1377	3	76	1	238	3	180	2	195	3	83	2	565	4	576	1	76	1	174	1	183	1	229	1	78	1
